,processed_problem,processed_action
5394,baffle seal needs to be secured on 1 cylinder,secured baffle seal
5395,3 intake gasket leaks,removed replaced gasket
5396,1 baffle cracked,fabricated installed patch on baffle w/ like material
5397,4 oil return tube hose clamps loose,tightened hose clamps
5398,r/h engine cylinder 3 intake gasket leaking,removed replaced intake gasket
5399,both baffle plugs damaged,removed replaced baffle plugs
5400,3 intake leaking,removed replaced gasket
5401,both engines 2 intakes leaking,replaced l/h intake gasket
5402,both engines 2 intakes leaking,removed replaced r/h gasket
5403,baffle seal on 1 cylinder needs to be secured,secured baffle seal
5404,3 rocker cover gasket leaks,removed replaced gasket
5405,2 rocker cover leaking,replaced gasket
5406,2 4 intake gaskets leaking,replaced gaskets
5407,r/h engine intakes 2 3 4 gaskets leaking,removed replaced w/ new gaskets
5408,l/h bottom of oil cooler needs to be sealed up,sealed bottom l/h oil cooler gap w/ silicone
5409,intake 2 3 4 leaking on l/h engine,removed replaced gaskets
5410,r/h engine cylinder 1 3 4 intake gaskets leaking,removed replaced gaskets
5411,all 4 rocker covers leaking,replaced gaskets
5412,oil on crankshaft plug,cleaned sealed plug
5413,oil on crankshaft plug,leak check good reinstalled spinner
5414,1 2 4 intake gaskets leaking,removed replaced gaskets
5415,crankshaft seal shows signs of leaking,removed prop ring gear removed old crankshaft seal c
5416,crankshaft seal shows signs of leaking,installed ring gear prop torqued to specs safetied
5417,3 baffle bracket cracked,fabricated installed new bracket
5418,baffle cracked at lower o/b oil cooler bolt,stop drilled crack
5419,all 4 rocker cover gaskets need to be replaced,replaced gaskets
5420,experienced severe engine roughness while on long final,reamed exhaust valve guides 1 2 4 cylinders
5421,experienced severe engine roughness while on long final,performed ground run operational safety section leak cked good
5422,experienced severe engine roughness while on long final,found stuck exhaust valve 3 cylinder bent bush rod remo
5423,2 intake leaking,replaced gasket
5424,2 rocker cover leaking,removed replaced gasket
5425,3 intake leaking,replaced gasket
5426,2 4 intake leaking,removed replaced gaskets
5427,2 intake gasket leaking,replaced intake gasket
5428,3 intake leaking on r/h engine,replaced gasket
5429,idles extremely rough around 400 rpm,performed ground run made seasonal adjustment to idle
5430,3 rocker cover gasket leaks,removed replaced gasket
5431,loose pop rivet 3 cylinder bracket,removed replaced pop rivet
5432,ferrous chip about 1/8 long found in suction screen,chip sent to lycoming for anaylsis
5433,prop rivets loose on r/h forward side of engine baffle,removed replaced loose rivets w/ screws on r/h forward en
5434,ferrous chip about 1/8 long found in suction screen,oil change in 10 hrs instructed from lycoming due 22
5435,grounding strap on engine loose bolt,tightened bolt
5436,lower forward black seal above engine filter worn spots,installed black rtv in worn areas
5437,2 intake gasket leaks on l/h engine,removed replaced gasket
5438,intakes 2 4 leaking on r/h engine,removed replaced gaskets
5439,2 phenolic spacers broken on throttle control quadrant,removed replaced spacers
5440,1 cylinder on r/h engine suspect cracked,removed baffle muffler oil return line cylinder piston
5441,1 cylinder on r/h engine suspect cracked,installed new cylinder assembly torqued to case dry tappet cle
5442,1 cylinder rocker cover gasket leaks,removed replacd gasket
5443,2 intake leaking on l/h engine,removed replaced intake gasket
5444,all spark plugs worn,replaced plugs
5445,engine rpm dropped 200300 rpm suddenly accompanied by stro,for maintenance flight
5446,engine rpm dropped 200300 rpm suddenly accompanied by stro,completed operational safety section leak check good
5447,engine rpm dropped 200300 rpm suddenly accompanied by stro,removed side baffles began performing lycoming
5448,2 side baffle seal loose,secured baffle seal w/ pop rivets
5449,1 intake leaking,removed replaced gasket
5450,l/h engine 4 intake gasket leaks,removed replaced gasket
5451,l/h engine 4 rocker cover gasket leaks,removed replaced gasket
5452,r/h engine 2 4 intake gasket leaking,removed replaced gaskets
5453,l/h engine 3 intake gasket leaking,removed replaced gasket
5454,r/h engine 3 4 intake gaskets leaking,removed replaced gaskets
5455,4 intake gasket leaks,removed replaced gasket
5456,baffle cracked by 2 cylinder on r/h engine,stop drilled crack
5457,2 3 4 intake gaskets leaking on l/h engine,removed replaced w/ new gaskets
5458,worn spots on blk seal in lower front baffling,installed rtv to spots
5459,2 intake gasket leaking,replaced gasket
5460,3 cylinder failed compression,operational safety section leak check good
5461,both baffle plugs damaged,removed replaced baffle plugs
5462,3 cylinder failed compression,removed baffling wires exhaust for access removed
5463,3 cylinder failed compression,reinstalled baffle wires muffler lines completed r
5464,cylinder 4 rocker cover gasket requires replacement,removed replaced gasket w/ new
5465,l/h engine 4 rocker gasket leaking,removed replaced rocker cover
5466,3 cylinder intake gasket leaking on l/h engine,removed replaced gasket
5467,clicking noise noticed during initial climb throughout resistance,inspected engine cabin area no defects noted
5468,prop overspeed rpm about 2850 w/ prop cont at high rpm in l,began insp iaw lycoming all compressions 74
5469,prop overspeed rpm about 2850 w/ prop cont at high rpm in l,completed insp iaw lycoming governor was found
5470,prop overspeed rpm about 2850 w/ prop cont at high rpm in l,reinstalled overhauled prop governor
5471,baffle plug missing,installed plug
5472,center cowling inlet tube needs replacement,after further insp no defects noted
5473,2 rocker cover gasket leaking,removed replaced gasket
5474,foreign object damage on top of engine,removed foreign object damage
5475,engine quit,ran up a/c engine started using normal procedures per
5476,both baffle plugs damaged,removed replaced baffle plugs
5477,a/c engine would shut down when leaning mixture on the groun,performed ground run verified w/ engine 40f cylinder head temperature o
5478,2 cylinder intake leaking,removed replaced gasket
5479,1 3 intakes leaking,removed replaced gaskets
5480,r/h rear engine baffle mounting screw missing,reinstalled rear baffle screw
5481,rough operation after start up engine wants to die at 1000,performed ground run operational safety section cked good
5482,2 cylinder has low compression,removed baffling components from 2 cylinder removed cylinder
5483,2 cylinder has low compression,installed inner cooling baffle on cylinder 1 3 installed
5484,2 cylinder has low compression,installed torqued injector line exhaust stack in
5485,2 cylinder has low compression,installed 1 cylinder side baffle 2 cylinder forward side baffles
5486,1 rocker cover leaking,removed replaced gasket
5487,1 4 intake gaskets leaking,removed replaced gaskets
5488,r/h aft i/b baffle screw missing by dipstick,removed oil cooler from engine baffle installed screw
5489,3 rocker cover leaks,installed gasket
5490,3 cylinder has low compression 40/80,leak run up check good
5491,3 cylinder has low compression 40/80,started removing baffling
5492,3 cylinder has low compression 40/80,installed cylinder baffles all necessary parts c/w ad e 2
5493,3 cylinder has low compression 40/80,removed cylinder fitted new intake valve lapped both valve
5494,both baffle plugs damaged,removed replaced baffle plugs
5495,baffle screw behind dipstick loose,tightened screw
5496,experienced momentary loss of power,performed maint history inspected fuel servo test ran
5497,all intake gaskets need to be replaced,removed replaced all intake gaskets seals
5498,1 2 cylinder intake gaskets leak,removed replaced gaskets
5499,baffle seal above cylinders 1 4 loose,resecured baffle seals
5500,r/h engine baffle plug damaged,repaired baffle iaw srm replaced baffle plugs
5501,r/h engine cylinder 3 cracked,completed installation operational safety section leak check good
5502,r/h engine cylinder 3 cracked,removed replaced cylinder w/ rebuilt assembly torqued all bas
5503,3 intake leaking,removed replaced gasket
5504,2 intake gasket leaks,replaced w/ new gasket
5505,when under power during climb while cruising engine was,ran a/c could not duplicate discrep all systems w/in
5506,hardware missing from 2 cylinder baffle,installed new hardware
5507,2 3 rocker cover gaskets leak,removed replaced gaskets
5508,l/h baffle plug hole wallard out,installed doubler on l/h baffle plug hole
5509,4 intake gasket leaking,replaced gasket
5510,all intake tube gaskets leaking,removed all intake gaskets replaced w/ new
5511,rivets pulled thru at aft baffle center,drilled out rivets replaced w/ screws lock nuts
5512,intakes 3 4 leaking on l/h engine,removed replaced gaskets
5513,l/h engine e cylinder baffling cracked,stop drilled crack
5514,2 intake leaking on l/h engine,removed replaced w/ new gasket
5515,2 intake on r/h engine leaking,removed replaced w/ new gasket
5516,small crack on l/h lower forward side of forward baffle,stop drilled end of crack
5517,3 intake on r/h engine leaking,removed replaced gasket
5518,intakes 2 3 4 leaking on l/h engine,removed replaced gaskets
5519,grounding strap bolt loose on engine,tightened bolt
5520,4 intake gasket leaks,removed replaced gasket
5521,hardware missing from aft r/h baffle,installed new hardware
5522,1 baffle plug damaged,removed replaced baffle plug
5523,l/h 2 4 intake tube gaskets leaking,installed new gaskets
5524,r/h engine left aft baffle seal loose,resecured baffle seal
5525,r/h engine still has preservative oil on cylinder 3 intake pipes,cleaned engine ran up a/c no defects noted
5526,r/h engine 2 intake gasket leaking,replaced gasket
5527,1 2 4 cylinder rocker covers leaking,removed rocker covers cleaned old gasket off replace
5528,hardware missing from 3 baffle,installed new hardware
5529,1 3 rocker covers leaking,removed replaced gaskets
5530,l/h engine 4 intake leaks,previously c/w on pilot drill 12
5531,l/h engine 2 4 intake gaskets leaking,replaced gaskets
5532,r/h engine 2 4 intake gaskets leaking,removed replaced w/ new gaskets
5533,engine leaking from lifting eye,leak check good
5534,2 cylinder baffle needs barrel nut,installed new barrel nut screw
5535,engine leaking from lifting eye,cleaned engine sealed lifting eye bolt
5536,rough chopping noise coming from engine on application of fu,ran a/c confirmed discrep removed cowling inspecte
5537,rough chopping noise coming from engine on application of fu,measured ring gaps installed torqued cylinder hold downs
5538,rough chopping noise coming from engine on application of fu,reassembled attaching parts to 2 cylinder forward baffling ran
5539,4 aft baffle missing screw,reinstalled screw
5540,2 intake leaking,removed replaced gasket
5541,engine requires overhaul,prepped painted engine
5542,3 side baffle tab rivets loose,replaced rivets w/ machine screws lock nuts
5543,engine requires overhaul,mounted engine torqued started engine installation
5544,engine requires overhaul,installed accessory case oil screen housing installe
